machine_id,time_stamp,cpu_util,memory_util,megps,mkpi,in_net,out_net,disk_io
2079,196960,67.0,95,-1.11,-1.11,36.13,25.34,14
2079,196990,72.0,97,-1.11,-1.11,36.13,25.34,17
2079,197000,74.0,97,-1.11,-1.11,36.13,25.34,17
2079,197060,73.0,96,-1.11,-1.11,36.13,25.35,17
2079,197070,67.0,95,-1.11,-1.11,36.13,25.35,17
2079,197140,65.0,95,-1.11,-1.11,36.13,25.35,14
2079,197150,64.0,95,-1.11,-1.11,36.13,25.35,14
2079,197210,54.0,87,-1.11,-1.11,36.14,25.35,18
2079,197340,57.0,84,-1.11,-1.11,36.14,25.35,24
2079,197430,45.0,84,-1.11,-1.11,36.14,25.35,16
2079,197570,46.0,80,-1.11,-1.11,36.15,25.35,4
2079,197600,42.0,80,-1.11,-1.11,36.15,25.35,5
2079,197610,41.0,81,-1.11,-1.11,36.15,25.35,5
2079,197820,48.0,83,-1.11,-1.11,36.15,25.36,9
2079,197960,64.0,85,-1.11,-1.11,36.16,25.36,3
2079,198270,53.0,84,-1.11,-1.11,36.16,25.36,9
2079,198280,53.0,84,-1.11,-1.11,36.16,25.36,9
2079,198400,44.0,83,-1.11,-1.11,36.17,25.36,8
2079,198420,47.0,85,-1.11,-1.11,36.17,25.36,9
2079,198430,46.0,85,-1.11,-1.11,36.17,25.36,9
2079,198510,40.0,81,-1.11,-1.11,36.17,25.37,9
2079,198520,40.0,82,-1.11,-1.11,36.17,25.37,9
2079,198530,40.0,82,-1.11,-1.11,36.17,25.37,9
2079,198580,45.0,83,-1.11,-1.11,36.17,25.37,15
2079,198610,42.0,82,-1.11,-1.11,36.17,25.37,13
2079,198680,50.0,83,-1.11,-1.11,36.17,25.37,13
2079,198760,41.0,84,-1.11,-1.11,36.18,25.37,15
2079,198860,48.0,87,-1.11,-1.11,36.18,25.37,17
2079,198900,47.0,84,-1.11,-1.11,36.18,25.37,12
2079,198980,52.0,86,-1.11,-1.11,36.18,25.37,17
2079,199040,47.0,85,-1.11,-1.11,36.18,25.37,18
2079,199240,41.0,83,-1.11,-1.11,36.19,25.38,14
2079,199250,44.0,85,-1.11,-1.11,36.19,25.38,14
2079,199350,44.0,87,-1.11,-1.11,36.19,25.38,9
2079,199430,45.0,85,-1.11,-1.11,36.19,25.38,11
2079,199470,46.0,85,-1.11,-1.11,36.19,25.38,12
2079,199610,49.0,87,-1.11,-1.11,36.2,25.38,13
2079,199660,46.0,86,-1.11,-1.11,36.2,25.38,12
2079,199670,43.0,86,-1.11,-1.11,36.2,25.38,12
2079,199990,46.0,86,-1.11,-1.11,36.2,25.39,9
2079,200000,44.0,86,-1.11,-1.11,36.21,25.39,9
2079,200040,48.0,86,-1.11,-1.11,36.21,25.39,15
2079,200070,47.0,87,-1.11,-1.11,36.21,25.39,15
2079,200170,65.0,88,-1.11,-1.11,36.21,25.39,9
2079,200230,53.0,89,-1.11,-1.11,36.21,25.39,12
2079,200350,52.0,87,-1.11,-1.11,36.22,25.39,7
2079,200380,45.0,85,-1.11,-1.11,36.22,25.4,7
