time_stamp,machine_id,cpu_util,memory_util
176220,2097,32.0,82
176340,2097,36.0,83
176480,2097,33.0,85
176500,2097,40.0,86
176560,2097,39.0,88
176580,2097,38.0,87
176630,2097,42.0,88
176660,2097,39.0,87
177030,2097,32.0,87
177130,2097,33.0,86
177220,2097,34.0,86
177240,2097,38.0,87
177280,2097,39.0,86
177420,2097,29.0,84
177550,2097,38.0,87
177560,2097,39.0,87
177590,2097,52.0,90
177670,2097,56.0,92
177680,2097,54.0,93
177700,2097,47.0,91
177780,2097,45.0,90
177860,2097,40.0,89
178010,2097,47.0,87
178060,2097,51.0,87
178100,2097,44.0,86
178140,2097,37.0,87
178300,2097,45.0,90
178460,2097,39.0,91
178490,2097,36.0,92
178600,2097,40.0,91
178660,2097,45.0,91
178760,2097,45.0,94
178930,2097,44.0,90
179210,2097,32.0,88
179280,2097,35.0,90
179330,2097,32.0,87
179390,2097,31.0,86
179400,2097,29.0,86
179410,2097,31.0,86
179430,2097,33.0,86
179490,2097,34.0,86
179590,2097,30.0,85
179970,2097,38.0,87
180320,2097,37.0,88
180370,2097,39.0,88
180460,2097,48.0,89
180590,2097,46.0,90
180680,2097,45.0,91
180810,2097,51.0,90
181080,2097,31.0,87
181230,2097,30.0,84
181320,2097,42.0,84
181400,2097,42.0,87
181500,2097,41.0,87
181520,2097,49.0,88
181580,2097,41.0,86
181610,2097,33.0,86
181670,2097,37.0,87
181870,2097,52.0,88
181910,2097,41.0,87
182240,2097,40.0,87
182280,2097,35.0,86
182460,2097,31.0,85
182520,2097,31.0,84
182610,2097,46.0,86
182660,2097,45.0,87
182670,2097,39.0,87
182690,2097,35.0,86
182790,2097,29.0,87
182820,2097,28.0,84
182850,2097,31.0,85
182970,2097,32.0,85
183040,2097,33.0,84
183130,2097,30.0,86
183140,2097,28.0,85
183250,2097,37.0,86
183370,2097,37.0,86
183420,2097,38.0,87
183540,2097,36.0,87
183550,2097,35.0,87
183660,2097,43.0,90
183700,2097,41.0,90
183790,2097,45.0,91
183820,2097,51.0,92
183860,2097,50.0,92
183900,2097,45.0,90
183980,2097,48.0,92
184190,2097,34.0,88
184320,2097,44.0,86
184440,2097,36.0,84
184470,2097,38.0,85
184540,2097,39.0,83
184610,2097,41.0,84
184650,2097,37.0,84
184830,2097,30.0,85
185000,2097,26.0,85
185010,2097,26.0,85
185050,2097,30.0,86
185110,2097,45.0,85
185120,2097,44.0,85
185150,2097,35.0,79
185210,2097,29.0,79
185230,2097,32.0,80
185260,2097,36.0,81
185410,2097,33.0,78
185440,2097,31.0,79
185500,2097,31.0,81
185590,2097,28.0,80
185640,2097,28.0,81
185650,2097,31.0,81
185670,2097,34.0,82
185900,2097,37.0,82
186100,2097,42.0,84
186150,2097,38.0,83
186230,2097,47.0,82
186330,2097,44.0,81
186380,2097,25.0,79
186600,2097,36.0,83
186750,2097,32.0,82
186890,2097,41.0,83
187050,2097,40.0,86
187070,2097,41.0,86
187080,2097,43.0,86
187130,2097,39.0,87
187230,2097,41.0,88
187250,2097,40.0,88
187310,2097,36.0,86
187320,2097,37.0,86
187350,2097,37.0,85
187480,2097,35.0,81
187730,2097,32.0,83
187750,2097,43.0,83
187820,2097,39.0,85
187850,2097,41.0,85
187870,2097,47.0,86
187950,2097,36.0,85
187970,2097,40.0,86
188230,2097,45.0,85
188270,2097,39.0,86
188300,2097,41.0,85
188350,2097,49.0,86
188360,2097,46.0,87
188440,2097,40.0,87
188510,2097,45.0,85
188600,2097,51.0,87
188660,2097,37.0,85
188720,2097,37.0,85
188800,2097,45.0,84
188980,2097,39.0,83
189010,2097,40.0,82
189170,2097,40.0,81
189270,2097,39.0,84
189290,2097,38.0,83
189330,2097,51.0,82
189350,2097,63.0,83
189370,2097,68.0,84
189660,2097,62.0,88
189730,2097,47.0,86
189780,2097,36.0,85
189960,2097,41.0,86
190030,2097,37.0,84
190090,2097,48.0,86
190130,2097,40.0,86
190220,2097,38.0,85
190230,2097,34.0,85
190510,2097,44.0,83
190950,2097,49.0,88
191020,2097,54.0,88
191040,2097,56.0,89
191140,2097,44.0,85
191230,2097,50.0,84
191460,2097,47.0,86
191510,2097,41.0,85
191820,2097,37.0,87
191840,2097,40.0,86
191870,2097,43.0,84
191910,2097,38.0,85
191950,2097,38.0,85
192120,2097,40.0,85
192220,2097,38.0,86
192280,2097,35.0,85
192340,2097,38.0,88
192360,2097,39.0,87
192370,2097,48.0,87
192380,2097,42.0,87
192400,2097,40.0,87
192500,2097,41.0,87
192520,2097,40.0,88
192540,2097,38.0,88
192690,2097,34.0,87
192780,2097,42.0,88
192880,2097,41.0,88
192960,2097,47.0,88
192980,2097,53.0,88
193070,2097,52.0,89
193120,2097,50.0,89
193130,2097,49.0,89
193410,2097,58.0,88
193480,2097,51.0,87
193500,2097,42.0,87
193540,2097,46.0,87
193560,2097,49.0,88
193590,2097,43.0,85
193650,2097,57.0,87
193740,2097,50.0,88
193950,2097,52.0,89
193970,2097,46.0,87
194020,2097,49.0,85
194130,2097,54.0,88
194250,2097,57.0,88
194270,2097,61.0,88
194420,2097,58.0,89
194470,2097,59.0,88
194580,2097,53.0,88
194660,2097,62.0,90
194690,2097,57.0,91
194830,2097,68.0,91
194970,2097,59.0,91
195270,2097,53.0,88
195280,2097,54.0,88
195300,2097,47.0,85
195340,2097,51.0,87
195350,2097,54.0,87
195410,2097,59.0,86
195490,2097,56.0,87
195500,2097,53.0,87
195580,2097,53.0,85
195640,2097,60.0,87
195680,2097,61.0,88
195840,2097,49.0,89
195850,2097,53.0,88
195890,2097,53.0,88
196030,2097,75.0,91
196090,2097,79.0,89
196200,2097,76.0,89
196310,2097,81.0,93
196470,2097,79.0,91
196520,2097,80.0,90
196560,2097,79.0,90
196860,2097,70.0,91
196950,2097,71.0,88
197150,2097,64.0,90
197320,2097,61.0,87
197410,2097,57.0,88
197510,2097,48.0,88
197760,2097,58.0,89
197810,2097,58.0,91
197830,2097,57.0,91
197860,2097,61.0,92
197870,2097,55.0,91
197930,2097,58.0,91
198440,2097,58.0,90
198450,2097,54.0,90
198460,2097,56.0,90
198650,2097,59.0,88
198810,2097,56.0,91
198880,2097,71.0,88
198980,2097,65.0,90
199010,2097,58.0,91
199030,2097,65.0,92
199220,2097,48.0,88
199350,2097,45.0,86
199690,2097,48.0,84
199720,2097,48.0,85
199870,2097,62.0,89
200100,2097,53.0,89
200130,2097,59.0,91
200150,2097,66.0,91
200190,2097,63.0,92
200200,2097,66.0,91
200210,2097,63.0,91
200360,2097,60.0,89
200460,2097,52.0,87
200480,2097,54.0,88
200530,2097,53.0,88
200540,2097,53.0,89
200560,2097,49.0,90
200570,2097,51.0,90
200590,2097,59.0,90
200630,2097,66.0,89
200640,2097,65.0,89
200860,2097,50.0,89
200980,2097,50.0,87
201100,2097,63.0,90
201200,2097,51.0,87
201270,2097,61.0,88
201280,2097,57.0,87
201340,2097,53.0,88
201430,2097,61.0,88
201510,2097,42.0,87
201600,2097,47.0,88
201670,2097,71.0,90
201770,2097,62.0,90
201920,2097,56.0,89
201980,2097,44.0,85
202030,2097,54.0,85
202090,2097,61.0,86
202100,2097,58.0,86
202270,2097,55.0,84
202280,2097,50.0,84
202300,2097,47.0,84
202580,2097,44.0,85
202670,2097,59.0,91
202680,2097,60.0,92
202720,2097,60.0,92
202740,2097,56.0,93
202760,2097,55.0,95
202770,2097,55.0,95
202840,2097,57.0,95
202870,2097,63.0,95
202890,2097,57.0,95
202980,2097,60.0,96
203010,2097,56.0,95
203050,2097,57.0,94
203090,2097,50.0,94
203110,2097,54.0,94
203180,2097,53.0,91
203360,2097,52.0,88
203450,2097,51.0,88
203510,2097,46.0,87
203660,2097,51.0,88
203670,2097,49.0,88
203900,2097,45.0,88
204010,2097,43.0,85
204050,2097,46.0,86
204360,2097,52.0,90
204730,2097,41.0,88
204760,2097,39.0,88
204770,2097,38.0,88
204870,2097,42.0,86
204950,2097,43.0,88
204970,2097,46.0,88
205070,2097,45.0,90
205080,2097,47.0,90
205160,2097,53.0,90
205240,2097,66.0,91
205340,2097,67.0,93
205550,2097,60.0,94
205760,2097,62.0,92
205810,2097,65.0,93
206080,2097,53.0,88
206130,2097,56.0,88
206270,2097,53.0,88
206290,2097,54.0,88
206430,2097,52.0,88
206670,2097,45.0,86
206680,2097,47.0,86
206750,2097,54.0,88
206850,2097,54.0,89
207030,2097,57.0,93
207040,2097,61.0,93
207050,2097,59.0,93
207220,2097,51.0,90
207350,2097,44.0,87
207370,2097,49.0,86
207570,2097,45.0,87
207590,2097,47.0,87
207740,2097,43.0,86
207760,2097,48.0,86
207890,2097,39.0,85
207950,2097,41.0,85
208110,2097,43.0,84
208190,2097,44.0,85
208240,2097,48.0,85
208250,2097,56.0,85
208290,2097,55.0,86
208410,2097,56.0,85
208490,2097,53.0,86
208540,2097,55.0,87
208560,2097,57.0,88
208610,2097,54.0,89
208670,2097,53.0,89
208840,2097,62.0,94
208930,2097,64.0,96
209270,2097,55.0,92
209290,2097,55.0,93
209380,2097,53.0,92
209490,2097,58.0,92
209550,2097,55.0,92
209570,2097,50.0,91
209600,2097,56.0,92
209630,2097,54.0,91
209650,2097,50.0,90
209700,2097,54.0,91
209720,2097,67.0,91
209730,2097,64.0,92
209750,2097,64.0,93
209830,2097,57.0,92
209880,2097,57.0,93
209900,2097,54.0,92
209970,2097,60.0,92
209990,2097,60.0,93
210110,2097,60.0,93
210230,2097,60.0,94
210410,2097,63.0,96
210420,2097,64.0,96
210660,2097,70.0,96
210690,2097,65.0,97
210760,2097,64.0,95
210810,2097,66.0,96
211100,2097,54.0,92
211220,2097,59.0,93
211340,2097,65.0,94
211360,2097,59.0,95
211470,2097,52.0,92
211740,2097,47.0,90
211960,2097,59.0,93
211970,2097,57.0,93
212030,2097,56.0,93
212070,2097,58.0,94
212110,2097,63.0,93
212150,2097,58.0,94
212290,2097,53.0,93
212300,2097,52.0,92
212310,2097,56.0,93
212340,2097,56.0,94
212350,2097,56.0,93
212380,2097,50.0,93
212430,2097,56.0,94
212450,2097,55.0,94
212600,2097,60.0,97
212740,2097,63.0,97
212760,2097,64.0,97
212810,2097,65.0,97
212870,2097,64.0,96
212940,2097,60.0,95
212970,2097,59.0,95
213040,2097,68.0,94
213270,2097,60.0,92
213360,2097,61.0,94
213370,2097,61.0,95
213590,2097,65.0,93
213640,2097,60.0,91
213690,2097,54.0,91
213750,2097,56.0,91
213870,2097,53.0,91
213880,2097,54.0,92
213890,2097,54.0,92
214180,2097,52.0,92
214320,2097,62.0,93
214540,2097,64.0,93
214730,2097,52.0,90
214860,2097,51.0,92
214990,2097,50.0,93
215100,2097,49.0,90
215340,2097,59.0,91
215360,2097,56.0,91
215390,2097,51.0,90
215450,2097,56.0,91
215490,2097,54.0,90
215540,2097,61.0,91
215580,2097,60.0,91
215670,2097,47.0,89
215680,2097,52.0,89
215700,2097,54.0,90
215790,2097,49.0,90
215900,2097,59.0,92
215920,2097,63.0,93
215950,2097,58.0,93
216030,2097,60.0,92
216080,2097,60.0,92
216170,2097,58.0,93
216360,2097,69.0,95
216470,2097,54.0,94
216620,2097,52.0,92
216740,2097,44.0,90
216850,2097,46.0,91
216890,2097,47.0,92
216940,2097,52.0,92
217080,2097,46.0,91
217090,2097,49.0,91
217250,2097,53.0,91
217310,2097,53.0,93
217350,2097,54.0,94
217610,2097,52.0,92
217660,2097,54.0,94
